Netzwerk-ID;Asset-ID;Gerätename;Netzwerktyp;Adressart;Verbindungstyp;IP-Adresse;MAC-Adresse;DNS;VLAN;Switch-Port;Wanddose;Access Point;SSID;Bemerkung
NET-0003;AS-0003;MARTIN;LAN/WLAN;DHCP;;192.168.1.71;7C:50:79:3F:93:73;192.168.1.1;;;;;;Automatisch erfasst. Verbindungstyp bitte prüfen.
NET-0004;AS-0004;GOLDENZOPF;LAN/WLAN;DHCP;;10.81.20.208;90:1B:0E:B7:16:9C;10.100.1.64, 10.94.36.170, 10.25.1.64;;;;;;Automatisch erfasst. Verbindungstyp bitte prüfen.
